scenario,replicate,year,C_f,S_b-i,P_adp,C_adp,V_LUC,R2,R1,S_LUC,div,div_loss
45,2,2031,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,182.2015576,-6.541035591
45,2,2032,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,181.1925048,-7.058621889
45,2,2033,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,180.4551687,-7.436833081
45,2,2034,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,179.3194435,-8.019395066
45,2,2035,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,178.2316448,-8.577373501
45,2,2036,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,177.4619583,-8.972178596
45,2,2037,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,176.4199561,-9.50666605
45,2,2038,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,175.6993277,-9.876307149
45,2,2039,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,174.9522066,-10.25953749
45,2,2040,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,174.2919523,-10.59821013
45,2,2041,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,173.5558144,-10.97580671
45,2,2042,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,172.6386873,-11.44624039
45,2,2043,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,171.9918126,-11.77805007
45,2,2044,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,171.1139586,-12.22833889
45,2,2045,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,170.2408973,-12.67616934
45,2,2046,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,169.4383945,-13.08780732
45,2,2047,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,168.6975305,-13.46782812
45,2,2048,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,167.5279904,-14.06773521
45,2,2049,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,166.7623644,-14.4604575
45,2,2050,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,165.9392265,-14.88268011
45,2,2051,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,164.9014844,-15.41498237
45,2,2052,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,163.9519404,-15.90204406
45,2,2053,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,163.3496638,-16.21097747
45,2,2054,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,162.6218465,-16.58430606
45,2,2055,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,161.9083405,-16.95029378
45,2,2056,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,161.1269387,-17.35110815
45,2,2057,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,160.6188511,-17.61172799
45,2,2058,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,159.7247554,-18.07034788
45,2,2059,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,158.7765426,-18.55672674
45,2,2060,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,157.5657325,-19.17780298
45,2,2061,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,157.0075218,-19.4641331
45,2,2062,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,156.5423684,-19.70273015
45,2,2063,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,155.7513812,-20.10846129
45,2,2064,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,155.148905,-20.41749708
45,2,2065,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,154.4668175,-20.7673689
45,2,2066,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,153.9004194,-21.05789869
45,2,2067,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,153.4469813,-21.29048647
45,2,2068,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,152.6985289,-21.67439968
45,2,2069,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,152.0671637,-21.99825387
45,2,2070,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,151.6966651,-22.18829844
45,2,2071,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,151.2189975,-22.43331456
45,2,2072,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,150.6152566,-22.74299906
